user_id,display_name,created_at,is_active,is_verified,is_superuser,reputation_score,last_seen_at,total_entries,approved_entries,rejected_entries,total_entry_score,review_actions_4d,entry_votes_on_others_4d,example_votes_on_others_4d,comments_on_others_4d,distinct_review_targets_4d,distinct_reviewed_authors_4d,entries_submitted_4d,review_actions_7d,entry_votes_on_others_7d,example_votes_on_others_7d,comments_on_others_7d,distinct_review_targets_7d,distinct_reviewed_authors_7d,entries_submitted_7d,review_actions_14d,entry_votes_on_others_14d,example_votes_on_others_14d,comments_on_others_14d,distinct_review_targets_14d,distinct_reviewed_authors_14d,entries_submitted_14d,review_actions_30d,entry_votes_on_others_30d,example_votes_on_others_30d,comments_on_others_30d,distinct_review_targets_30d,distinct_reviewed_authors_30d,entries_submitted_30d,review_to_submission_ratio_4d,review_to_submission_ratio_7d,review_to_submission_ratio_14d,review_to_submission_ratio_30d
a57f0fd6-6977-43c3-86bb-cd34ef2a7a29,Uyrauna,2026-03-14 18:18:29.505076+00:00,True,True,True,217,2026-04-24 16:50:14.672612+00:00,210.0,83.0,1.0,192.0,26.0,14.0,0.0,11.0,26.0,3.0,12.0,51.0,33.0,0.0,17.0,51.0,6.0,29.0,125.0,98.0,2.0,23.0,125.0,8.0,87.0,288.0,216.0,11.0,40.0,288.0,11.0,163.0,2.1666666666666665,1.7586206896551724,1.4367816091954022,1.7668711656441718
fd9b7f36-2943-4ceb-b658-83c814782ac3,Emerson Costa,2026-03-14 15:19:48.048972+00:00,True,True,False,170,2026-04-24 14:59:44.084082+00:00,107.0,71.0,0.0,161.0,19.0,16.0,0.0,1.0,19.0,4.0,15.0,21.0,18.0,0.0,1.0,21.0,4.0,15.0,45.0,30.0,0.0,10.0,45.0,8.0,23.0,132.0,84.0,0.0,34.0,132.0,12.0,105.0,1.2666666666666666,1.4,1.9565217391304348,1.2571428571428571
4ce403f9-c662-4caa-8576-c10e71f01c4b,Ybytyruna,2026-03-19 23:30:56.909369+00:00,True,True,False,143,2026-04-24 05:25:48.635692+00:00,114.0,68.0,0.0,131.0,6.0,5.0,0.0,1.0,6.0,3.0,0.0,20.0,17.0,0.0,2.0,20.0,5.0,13.0,50.0,43.0,1.0,3.0,50.0,7.0,18.0,150.0,122.0,2.0,10.0,150.0,9.0,114.0,,1.5384615384615385,2.7777777777777777,1.3157894736842106
69ce191d-25f7-4ae6-b5fc-26bdc90e84aa,Kiansheik3128,2026-03-14 15:19:48.048972+00:00,True,True,True,59,2026-04-24 19:09:17.062794+00:00,34.0,30.0,2.0,30.0,10.0,8.0,0.0,2.0,10.0,3.0,1.0,15.0,13.0,0.0,2.0,15.0,3.0,1.0,37.0,28.0,0.0,7.0,37.0,6.0,3.0,102.0,70.0,2.0,24.0,102.0,8.0,17.0,10.0,15.0,12.333333333333334,6.0
392a03db-0ab2-42c7-bf58-3acde7de9d5d,Kaique Gomes de Meneses,2026-03-29 01:36:48.647207+00:00,True,True,False,56,2026-04-24 02:36:16.092615+00:00,47.0,23.0,1.0,55.0,37.0,30.0,0.0,1.0,37.0,5.0,25.0,52.0,44.0,0.0,1.0,52.0,6.0,32.0,67.0,59.0,0.0,1.0,67.0,8.0,47.0,67.0,59.0,0.0,1.0,67.0,8.0,47.0,1.48,1.625,1.425531914893617,1.425531914893617
cdbc2977-3feb-4b78-967e-7636db3986d5,Felipe Menão,2026-03-17 21:01:03.567238+00:00,True,True,False,45,2026-04-09 23:48:29.802320+00:00,49.0,25.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,32.0,0.0,5.0,39.0,6.0,41.0,,,,0.9512195121951219
34f5c1a1-8caa-48c6-9482-d01ef71e9661,Jerffersonmanoel,2026-03-14 15:19:48.048972+00:00,True,True,False,37,,36.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
68094f87-01d0-4966-aae7-21eb452e918d,Nambiguasu,2026-03-14 15:19:48.048972+00:00,True,True,False,28,2026-04-24 14:43:01.949491+00:00,9.0,9.0,0.0,18.0,12.0,5.0,0.0,4.0,12.0,3.0,2.0,23.0,14.0,0.0,6.0,23.0,5.0,4.0,26.0,15.0,0.0,6.0,26.0,6.0,4.0,37.0,23.0,0.0,9.0,37.0,9.0,5.0,6.0,5.75,6.5,7.4
36e75d85-db7f-499d-8d6b-ee983421a046,cristianwcorrea,2026-03-16 15:16:57.543608+00:00,True,True,False,20,2026-04-06 22:28:27.067387+00:00,29.0,13.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,0.0,0.0,23.0,5.0,0.0,,,,
8f2ee531-41f7-4433-a49a-712adb50c585,Gabriel Rolim,2026-03-16 15:29:35.172423+00:00,True,True,False,14,2026-04-01 16:12:41.779568+00:00,6.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,,,
e118f03c-0bb2-4c81-903d-b02f4aa15f26,Eirusu,2026-03-15 15:18:52.298178+00:00,True,True,False,13,2026-04-24 13:42:20.435463+00:00,5.0,5.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,,,,2.5
ce6e5c8c-b2e1-4acd-89fe-b42fe49a86bc,Juruparieté,2026-03-23 23:52:49.689187+00:00,True,True,False,9,2026-04-20 19:18:17.031933+00:00,5.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,0.0,0.0,55.0,4.0,1.0,69.0,67.0,0.0,0.0,69.0,5.0,2.0,75.0,72.0,0.0,0.0,75.0,8.0,2.0,,55.0,34.5,37.5
3d2592f5-7de0-43e8-a487-729a070624ef,Mattoliver1908,2026-03-14 15:19:48.048972+00:00,True,True,False,8,,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
60264769-e015-4dba-b2f4-6bfdffed12b3,Romildo Guyraakanga,2026-03-14 19:04:43.671356+00:00,True,True,False,7,2026-04-11 13:26:52.160402+00:00,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,0.0,11.0,23.0,5.0,2.0,,,,11.5
f63c93e7-16f1-4495-8e5f-220cf1bd0587,TDF,2026-03-24 14:22:07.526109+00:00,True,True,False,4,2026-03-24 14:35:55.411887+00:00,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10293b59-6af4-4de0-9a6d-b87c2ed343a1,Gustavo Fávero,2026-03-16 15:18:26.352705+00:00,True,True,False,3,2026-04-08 18:52:46.256589+00:00,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,2.0,10.0,3.0,0.0,,,,
a3cd0e01-82b4-4a40-bbfd-448afbe493a5,LJaci,2026-03-17 19:27:15.379286+00:00,True,True,False,0,2026-03-17 21:01:19.668922+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1fa1272e-1af6-4b74-9f31-0549bbcf831d,Romildonline,2026-03-14 15:19:48.048972+00:00,True,True,False,0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
48d31c72-fa13-4fdf-be8a-0302c5e5e5d7,taco_chip,2026-03-14 17:27:22.401887+00:00,True,True,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ebc489b8-00f0-4ea0-8c72-2ef8f281111a,Akanguasu,2026-04-05 14:59:23.113172+00:00,True,True,False,0,2026-04-05 22:51:33.238229+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
dfa665ca-36c8-4368-aef9-50d7be8b7b4a,Xe'ánga Ratá,2026-04-01 00:33:34.491131+00:00,True,True,False,0,2026-04-07 23:00:04.404611+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
fc3c7d2b-dc08-41ca-a6f1-daba826a1f53,Alex,2026-04-18 15:10:50.365769+00:00,True,False,False,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
