user_id,display_name,reputation_score,is_superuser,score,entries_today,allowed_posts,remaining_posts,unlimited,next_score_required,would_allow_next_entry,formula,window_days
3d2592f5-7de0-43e8-a487-729a070624ef,Mattoliver1908,8,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
34f5c1a1-8caa-48c6-9482-d01ef71e9661,Jerffersonmanoel,37,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
48d31c72-fa13-4fdf-be8a-0302c5e5e5d7,taco_chip,0,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
ebc489b8-00f0-4ea0-8c72-2ef8f281111a,Akanguasu,0,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
e118f03c-0bb2-4c81-903d-b02f4aa15f26,Eirusu,13,False,2.0,0,1.0,1.0,False,1.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
10293b59-6af4-4de0-9a6d-b87c2ed343a1,Gustavo Fávero,3,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
36e75d85-db7f-499d-8d6b-ee983421a046,cristianwcorrea,20,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
8f2ee531-41f7-4433-a49a-712adb50c585,Gabriel Rolim,14,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
fd9b7f36-2943-4ceb-b658-83c814782ac3,Emerson Costa,170,False,18.0,0,,,True,0.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
a3cd0e01-82b4-4a40-bbfd-448afbe493a5,LJaci,0,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
cdbc2977-3feb-4b78-967e-7636db3986d5,Felipe Menão,45,False,0.0,0,1.0,1.0,False,3.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
a57f0fd6-6977-43c3-86bb-cd34ef2a7a29,Uyrauna,217,True,33.0,0,,,True,0.0,True,A_simple_7d_entry_example_1x_threshold_0_3_6,7
